Source;Destination;Date;Time;Duration;TotalSeats;OpenSeats;Price;

Seattle;Tokyo;20170501;11:27;3.1;245;245;1861;
Seattle;Tokyo;20170501;20:19;1.2;299;299;394;
Seattle;Tokyo;20170502;09:38;0.2;277;277;370;
Seattle;Tokyo;20170502;20:29;15.7;343;343;1432;
Seattle;Tokyo;20170503;00:31;1.7;342;342;839;
Seattle;Tokyo;20170503;15:03;13.4;299;299;839;
Seattle;Tokyo;20170504;04:41;9.3;290;290;328;
Seattle;Tokyo;20170504;12:22;15.9;377;377;1899;
Seattle;Tokyo;20170505;09:43;15.3;380;380;402;
Seattle;Tokyo;20170505;15:13;4.9;257;257;937;
Seattle;Tokyo;20170506;06:06;5.9;275;275;1367;
Seattle;Tokyo;20170506;12:55;7.7;394;394;1877;
Seattle;Tokyo;20170507;02:13;14.2;327;327;973;
Seattle;Tokyo;20170507;14:45;6.2;343;343;1117;
Seattle;Tokyo;20170508;08:42;5.0;229;229;1479;
Seattle;Tokyo;20170508;23:06;14.7;380;380;279;
Seattle;Tokyo;20170509;02:58;15.2;396;396;778;
Seattle;Tokyo;20170509;20:29;0.7;221;221;1421;
Seattle;Tokyo;20170510;07:17;12.8;282;282;1913;
Seattle;Tokyo;20170510;12:55;8.3;359;359;1882;
Seattle;Tokyo;20170511;11:50;14.5;319;319;707;
Seattle;Tokyo;20170511;18:41;10.7;311;311;1351;
Seattle;Tokyo;20170512;07:24;3.1;267;267;780;
Seattle;Tokyo;20170512;18:15;6.0;270;270;1676;
Seattle;Tokyo;20170513;12:08;3.7;224;224;421;
Seattle;Tokyo;20170513;12:41;7.7;309;309;990;
Seattle;Tokyo;20170514;12:23;13.3;399;399;1313;
Seattle;Tokyo;20170514;13:24;12.7;291;291;1992;
Seattle;Tokyo;20170515;07:49;3.1;293;293;1669;
Seattle;Tokyo;20170515;19:45;9.9;223;223;1008;
Seattle;Tokyo;20170516;01:09;10.0;355;355;1045;
Seattle;Tokyo;20170516;12:27;12.5;356;356;1915;
Seattle;Tokyo;20170517;11:02;1.0;262;262;315;
Seattle;Tokyo;20170517;15:01;4.9;304;304;1217;
Seattle;Tokyo;20170518;11:16;12.8;311;311;752;
Seattle;Tokyo;20170518;15:54;8.9;342;342;1739;
Seattle;Tokyo;20170519;09:06;11.1;200;200;1456;
Seattle;Tokyo;20170519;22:08;3.9;208;208;675;
Seattle;Tokyo;20170520;07:18;4.0;234;234;666;
Seattle;Tokyo;20170520;20:30;8.0;355;355;487;
Seattle;Tokyo;20170521;02:57;0.2;332;332;543;
Seattle;Tokyo;20170521;14:09;14.8;310;310;591;
Seattle;Tokyo;20170522;05:37;1.4;282;282;1100;
Seattle;Tokyo;20170522;12:03;3.8;322;322;490;
Seattle;Tokyo;20170523;10:47;12.0;299;299;1133;
Seattle;Tokyo;20170523;14:19;14.8;240;240;1711;
Seattle;Tokyo;20170524;09:46;2.2;329;329;1912;
Seattle;Tokyo;20170524;18:18;5.6;327;327;1817;
Seattle;Tokyo;20170525;02:42;8.2;378;378;1898;
Seattle;Tokyo;20170525;17:34;10.9;357;357;1128;
Seattle;Tokyo;20170526;03:48;15.0;266;266;1477;
Seattle;Tokyo;20170526;12:01;3.4;210;210;1687;
Seattle;Tokyo;20170527;07:35;4.3;342;342;1051;
Seattle;Tokyo;20170527;14:17;15.2;365;365;1841;
Seattle;Tokyo;20170528;09:18;10.6;356;356;1043;
Seattle;Tokyo;20170528;12:11;14.4;314;314;1783;
Seattle;Tokyo;20170529;00:24;14.7;307;307;1298;
Seattle;Tokyo;20170529;20:59;8.4;335;335;1935;
Seattle;Tokyo;20170530;03:42;2.7;375;375;1227;
Seattle;Tokyo;20170530;13:47;14.6;242;242;389;
Seattle;Tokyo;20170531;00:29;5.5;226;226;953;
Seattle;Tokyo;20170531;17:05;2.4;301;301;647;
Seattle;Washington;20170501;03:29;15.4;227;227;1364;
Seattle;Washington;20170501;20:21;9.6;308;308;1331;
Seattle;Washington;20170502;05:48;10.5;337;337;425;
Seattle;Washington;20170502;23:32;9.2;266;266;1669;
Seattle;Washington;20170503;07:09;4.0;326;326;1605;
Seattle;Washington;20170503;16:06;7.5;296;296;1202;
Seattle;Washington;20170504;10:38;10.7;266;266;789;
Seattle;Washington;20170504;12:51;10.2;350;350;895;
Seattle;Washington;20170505;01:35;9.9;336;336;1302;
Seattle;Washington;20170505;20:22;6.2;321;321;1737;
Seattle;Washington;20170506;01:19;9.8;268;268;1932;
Seattle;Washington;20170506;12:02;6.4;337;337;1157;
Seattle;Washington;20170507;08:30;8.0;229;229;1771;
Seattle;Washington;20170507;21:22;8.0;314;314;671;
Seattle;Washington;20170508;03:11;0.1;368;368;1481;
Seattle;Washington;20170508;16:57;12.9;290;290;1529;
Seattle;Washington;20170509;06:18;13.3;367;367;258;
Seattle;Washington;20170509;21:14;9.5;329;329;1427;
Seattle;Washington;20170510;07:11;7.7;213;213;1600;
Seattle;Washington;20170510;15:35;4.0;291;291;1511;
Seattle;Washington;20170511;03:54;13.4;225;225;1503;
Seattle;Washington;20170511;16:46;6.0;234;234;1859;
Seattle;Washington;20170512;07:25;3.1;277;277;395;
Seattle;Washington;20170512;19:56;5.1;306;306;1715;
Seattle;Washington;20170513;04:21;13.9;261;261;734;
Seattle;Washington;20170513;20:54;2.1;244;244;1414;
Seattle;Washington;20170514;09:40;13.8;374;374;1842;
Seattle;Washington;20170514;17:49;6.2;374;374;843;
Seattle;Washington;20170515;12:52;11.7;261;261;1788;
Seattle;Washington;20170515;20:21;6.5;300;300;1085;
Seattle;Washington;20170516;09:57;12.6;336;336;1792;
Seattle;Washington;20170516;17:23;13.3;256;256;1955;
Seattle;Washington;20170517;04:00;6.3;351;351;1531;
Seattle;Washington;20170517;23:28;1.0;290;290;1339;
Seattle;Washington;20170518;05:48;6.6;239;239;1204;
Seattle;Washington;20170518;20:02;6.4;290;290;1825;
Seattle;Washington;20170519;10:11;14.0;383;383;740;
Seattle;Washington;20170519;17:37;5.5;253;253;508;
Seattle;Washington;20170520;06:46;11.0;302;302;1365;
Seattle;Washington;20170520;15:20;7.7;357;357;361;
Seattle;Washington;20170521;03:43;3.6;253;253;628;
Seattle;Washington;20170521;19:49;13.5;346;346;1494;
Seattle;Washington;20170522;03:35;12.4;388;388;1114;
Seattle;Washington;20170522;22:35;15.4;331;331;1539;
Seattle;Washington;20170523;02:04;10.8;281;281;1935;
Seattle;Washington;20170523;12:52;4.8;343;343;1682;
Seattle;Washington;20170524;06:52;9.1;359;359;1457;
Seattle;Washington;20170524;20:07;12.3;240;240;1211;
Seattle;Washington;20170525;10:12;9.7;312;312;1927;
Seattle;Washington;20170525;15:18;7.7;392;392;1873;
Seattle;Washington;20170526;08:19;6.2;315;315;1417;
Seattle;Washington;20170526;15:00;6.3;241;241;1431;
Seattle;Washington;20170527;04:54;4.5;387;387;711;
Seattle;Washington;20170527;21:04;11.5;206;206;424;
Seattle;Washington;20170528;08:57;5.7;328;328;1629;
Seattle;Washington;20170528;16:01;14.5;309;309;1061;
Seattle;Washington;20170529;04:54;7.0;283;283;922;
Seattle;Washington;20170529;23:40;5.6;340;340;325;
Seattle;Washington;20170530;00:47;9.9;225;225;834;
Seattle;Washington;20170530;15:24;12.9;297;297;1940;
Seattle;Washington;20170531;05:14;10.9;344;344;314;
Seattle;Washington;20170531;18:12;3.6;377;377;264;
Seattle;Orlando;20170501;01:33;5.0;352;352;791;
Seattle;Orlando;20170501;19:49;0.4;218;218;383;
Seattle;Orlando;20170502;00:03;15.9;301;301;531;
Seattle;Orlando;20170502;15:39;6.1;385;385;1607;
Seattle;Orlando;20170503;06:22;6.0;200;200;1345;
Seattle;Orlando;20170503;20:25;15.9;319;319;1363;
Seattle;Orlando;20170504;00:52;3.4;251;251;790;
Seattle;Orlando;20170504;13:08;12.8;216;216;1656;
Seattle;Orlando;20170505;07:55;0.2;361;361;1862;
Seattle;Orlando;20170505;19:46;11.4;274;274;1685;
Seattle;Orlando;20170506;02:26;10.0;268;268;1044;
Seattle;Orlando;20170506;18:27;4.9;364;364;1524;
Seattle;Orlando;20170507;07:33;11.0;250;250;606;
Seattle;Orlando;20170507;23:17;1.9;282;282;1583;
Seattle;Orlando;20170508;10:40;1.3;290;290;1808;
Seattle;Orlando;20170508;12:30;13.3;306;306;1217;
Seattle;Orlando;20170509;04:17;5.7;314;314;1056;
Seattle;Orlando;20170509;12:52;15.8;242;242;949;
Seattle;Orlando;20170510;09:53;8.3;370;370;574;
Seattle;Orlando;20170510;20:14;15.4;354;354;1203;
Seattle;Orlando;20170511;07:42;12.8;276;276;1293;
Seattle;Orlando;20170511;16:17;5.3;270;270;1958;
Seattle;Orlando;20170512;04:44;8.8;321;321;1838;
Seattle;Orlando;20170512;14:02;12.5;319;319;1604;
Seattle;Orlando;20170513;07:19;6.3;286;286;1974;
Seattle;Orlando;20170513;19:10;4.8;319;319;425;
Seattle;Orlando;20170514;08:21;11.9;268;268;708;
Seattle;Orlando;20170514;14:40;4.8;331;331;411;
Seattle;Orlando;20170515;12:30;8.9;288;288;297;
Seattle;Orlando;20170515;17:06;14.5;371;371;537;
Seattle;Orlando;20170516;12:33;4.2;222;222;1775;
Seattle;Orlando;20170516;12:39;2.8;219;219;1757;
Seattle;Orlando;20170517;08:04;10.0;269;269;931;
Seattle;Orlando;20170517;22:50;15.0;273;273;1531;
Seattle;Orlando;20170518;10:53;7.7;398;398;1920;
Seattle;Orlando;20170518;20:01;15.0;204;204;1124;
Seattle;Orlando;20170519;09:01;14.7;223;223;317;
Seattle;Orlando;20170519;22:32;3.2;371;371;416;
Seattle;Orlando;20170520;06:44;7.6;252;252;1401;
Seattle;Orlando;20170520;14:00;5.8;230;230;447;
Seattle;Orlando;20170521;05:58;9.0;346;346;420;
Seattle;Orlando;20170521;12:08;4.3;289;289;765;
Seattle;Orlando;20170522;09:33;1.6;261;261;328;
Seattle;Orlando;20170522;14:37;1.1;375;375;948;
Seattle;Orlando;20170523;11:11;13.7;226;226;1983;
Seattle;Orlando;20170523;21:34;14.4;279;279;934;
Seattle;Orlando;20170524;10:55;5.6;382;382;1678;
Seattle;Orlando;20170524;21:51;2.5;273;273;1360;
Seattle;Orlando;20170525;01:21;10.1;285;285;1918;
Seattle;Orlando;20170525;17:09;9.0;334;334;831;
Seattle;Orlando;20170526;11:20;2.8;322;322;900;
Seattle;Orlando;20170526;16:21;0.7;260;260;1746;
Seattle;Orlando;20170527;12:56;4.7;342;342;1911;
Seattle;Orlando;20170527;14:41;8.4;300;300;1395;
Seattle;Orlando;20170528;12:07;15.4;264;264;1274;
Seattle;Orlando;20170528;17:13;5.7;250;250;646;
Seattle;Orlando;20170529;06:31;8.5;353;353;1697;
Seattle;Orlando;20170529;15:39;3.7;244;244;1373;
Seattle;Orlando;20170530;10:57;14.6;275;275;659;
Seattle;Orlando;20170530;17:01;0.0;220;220;1296;
Seattle;Orlando;20170531;12:47;2.7;339;339;1803;
Seattle;Orlando;20170531;13:56;4.6;241;241;513;
Seattle;Honolulu;20170501;09:16;1.7;205;205;979;
Seattle;Honolulu;20170501;20:00;15.0;364;364;753;
Seattle;Honolulu;20170502;07:58;11.3;312;312;1966;
Seattle;Honolulu;20170502;20:37;2.1;337;337;880;
Seattle;Honolulu;20170503;00:53;10.5;305;305;1603;
Seattle;Honolulu;20170503;22:27;6.4;298;298;1868;
Seattle;Honolulu;20170504;11:27;5.5;287;287;702;
Seattle;Honolulu;20170504;18:29;1.0;280;280;1666;
Seattle;Honolulu;20170505;10:22;7.0;246;246;1580;
Seattle;Honolulu;20170505;15:18;4.0;289;289;1173;
Seattle;Honolulu;20170506;07:15;13.4;336;336;1729;
Seattle;Honolulu;20170506;22:17;1.4;207;207;551;
Seattle;Honolulu;20170507;10:33;14.8;366;366;917;
Seattle;Honolulu;20170507;17:16;9.9;393;393;1661;
Seattle;Honolulu;20170508;01:12;12.6;384;384;1648;
Seattle;Honolulu;20170508;18:25;3.9;334;334;1197;
Seattle;Honolulu;20170509;12:53;11.6;278;278;1028;
Seattle;Honolulu;20170509;15:57;1.9;347;347;1380;
Seattle;Honolulu;20170510;06:37;12.7;263;263;816;
Seattle;Honolulu;20170510;20:08;11.7;363;363;1257;
Seattle;Honolulu;20170511;10:36;2.2;359;359;540;
Seattle;Honolulu;20170511;19:30;9.4;314;314;1153;
Seattle;Honolulu;20170512;06:01;15.5;274;274;397;
Seattle;Honolulu;20170512;19:34;15.1;308;308;1141;
Seattle;Honolulu;20170513;08:59;7.8;341;341;1619;
Seattle;Honolulu;20170513;18:43;3.1;373;373;924;
Seattle;Honolulu;20170514;06:28;8.6;260;260;822;
Seattle;Honolulu;20170514;18:27;2.9;303;303;1390;
Seattle;Honolulu;20170515;12:18;9.8;263;263;250;
Seattle;Honolulu;20170515;16:19;1.8;328;328;1094;
Seattle;Honolulu;20170516;12:20;0.6;212;212;324;
Seattle;Honolulu;20170516;22:08;0.4;305;305;207;
Seattle;Honolulu;20170517;00:54;0.5;368;368;806;
Seattle;Honolulu;20170517;17:04;7.8;245;245;361;
Seattle;Honolulu;20170518;07:17;0.4;340;340;568;
Seattle;Honolulu;20170518;14:46;15.2;365;365;1109;
Seattle;Honolulu;20170519;01:18;1.8;377;377;1524;
Seattle;Honolulu;20170519;19:19;4.6;299;299;377;
Seattle;Honolulu;20170520;10:02;7.2;399;399;931;
Seattle;Honolulu;20170520;23:10;1.6;282;282;386;
Seattle;Honolulu;20170521;10:46;14.4;278;278;1695;
Seattle;Honolulu;20170521;17:13;4.5;318;318;862;
Seattle;Honolulu;20170522;03:54;0.0;320;320;416;
Seattle;Honolulu;20170522;23:12;7.3;221;221;285;
Seattle;Honolulu;20170523;05:56;15.7;356;356;491;
Seattle;Honolulu;20170523;14:16;13.9;305;305;267;
Seattle;Honolulu;20170524;12:26;1.9;332;332;1603;
Seattle;Honolulu;20170524;18:50;6.4;345;345;1983;
Seattle;Honolulu;20170525;12:53;12.4;220;220;1849;
Seattle;Honolulu;20170525;22:01;3.9;279;279;1174;
Seattle;Honolulu;20170526;07:51;3.1;325;325;753;
Seattle;Honolulu;20170526;23:56;15.3;333;333;889;
Seattle;Honolulu;20170527;11:03;14.1;270;270;941;
Seattle;Honolulu;20170527;15:05;6.6;376;376;1704;
Seattle;Honolulu;20170528;02:20;1.7;217;217;1643;
Seattle;Honolulu;20170528;23:05;4.3;202;202;650;
Seattle;Honolulu;20170529;02:02;5.1;375;375;841;
Seattle;Honolulu;20170529;19:13;0.6;393;393;1085;
Seattle;Honolulu;20170530;11:35;5.4;231;231;1334;
Seattle;Honolulu;20170530;14:32;14.6;341;341;698;
Seattle;Honolulu;20170531;07:38;15.5;295;295;1278;
Seattle;Honolulu;20170531;16:46;7.8;344;344;1337;
Seattle;Los Angeles;20170501;05:33;13.8;290;290;1773;
Seattle;Los Angeles;20170501;22:18;15.4;237;237;967;
Seattle;Los Angeles;20170502;08:48;2.3;259;259;744;
Seattle;Los Angeles;20170502;21:20;4.0;376;376;990;
Seattle;Los Angeles;20170503;06:12;1.5;261;261;663;
Seattle;Los Angeles;20170503;16:19;9.3;328;328;1056;
Seattle;Los Angeles;20170504;10:57;2.2;299;299;1840;
Seattle;Los Angeles;20170504;16:29;1.1;284;284;1472;
Seattle;Los Angeles;20170505;04:44;5.2;382;382;1421;
Seattle;Los Angeles;20170505;23:41;14.0;284;284;1524;
Seattle;Los Angeles;20170506;09:10;7.6;296;296;1531;
Seattle;Los Angeles;20170506;19:51;6.5;345;345;1314;
Seattle;Los Angeles;20170507;11:46;7.5;396;396;247;
Seattle;Los Angeles;20170507;19:16;0.0;363;363;1466;
Seattle;Los Angeles;20170508;05:31;4.8;296;296;912;
Seattle;Los Angeles;20170508;17:43;4.2;325;325;1713;
Seattle;Los Angeles;20170509;06:20;8.4;363;363;231;
Seattle;Los Angeles;20170509;18:11;10.3;328;328;868;
Seattle;Los Angeles;20170510;04:57;10.1;359;359;1888;
Seattle;Los Angeles;20170510;19:40;0.6;373;373;1238;
Seattle;Los Angeles;20170511;09:11;14.0;265;265;937;
Seattle;Los Angeles;20170511;23:24;0.9;211;211;461;
Seattle;Los Angeles;20170512;12:36;8.8;252;252;1162;
Seattle;Los Angeles;20170512;15:36;12.4;258;258;1131;
Seattle;Los Angeles;20170513;00:23;15.9;273;273;1226;
Seattle;Los Angeles;20170513;17:34;15.0;267;267;717;
Seattle;Los Angeles;20170514;01:23;1.8;340;340;1576;
Seattle;Los Angeles;20170514;21:03;15.7;293;293;1659;
Seattle;Los Angeles;20170515;09:01;7.0;264;264;1655;
Seattle;Los Angeles;20170515;15:02;11.6;378;378;496;
Seattle;Los Angeles;20170516;11:53;9.2;221;221;881;
Seattle;Los Angeles;20170516;15:28;13.6;210;210;1812;
Seattle;Los Angeles;20170517;02:56;12.0;200;200;565;
Seattle;Los Angeles;20170517;16:51;6.1;223;223;380;
Seattle;Los Angeles;20170518;10:01;8.7;395;395;716;
Seattle;Los Angeles;20170518;12:13;12.1;329;329;1113;
Seattle;Los Angeles;20170519;12:24;14.3;260;260;810;
Seattle;Los Angeles;20170519;19:12;1.4;393;393;1249;
Seattle;Los Angeles;20170520;06:51;4.7;271;271;1538;
Seattle;Los Angeles;20170520;14:45;6.0;317;317;868;
Seattle;Los Angeles;20170521;04:09;3.2;222;222;523;
Seattle;Los Angeles;20170521;23:20;7.6;258;258;347;
Seattle;Los Angeles;20170522;07:44;15.1;360;360;203;
Seattle;Los Angeles;20170522;23:34;8.8;270;270;1596;
Seattle;Los Angeles;20170523;00:52;15.6;222;222;1689;
Seattle;Los Angeles;20170523;13:55;15.8;380;380;988;
Seattle;Los Angeles;20170524;01:23;15.6;315;315;1328;
Seattle;Los Angeles;20170524;18:51;14.9;237;237;1920;
Seattle;Los Angeles;20170525;11:42;7.1;319;319;425;
Seattle;Los Angeles;20170525;18:48;0.0;310;310;1516;
Seattle;Los Angeles;20170526;07:14;14.3;343;343;1193;
Seattle;Los Angeles;20170526;12:13;5.2;250;250;778;
Seattle;Los Angeles;20170527;06:58;7.8;224;224;523;
Seattle;Los Angeles;20170527;21:30;12.7;350;350;709;
Seattle;Los Angeles;20170528;07:08;12.8;375;375;570;
Seattle;Los Angeles;20170528;14:01;13.4;375;375;1100;
Seattle;Los Angeles;20170529;09:06;5.5;263;263;1602;
Seattle;Los Angeles;20170529;20:57;8.9;368;368;1578;
Seattle;Los Angeles;20170530;01:30;6.5;353;353;1077;
Seattle;Los Angeles;20170530;13:16;14.7;231;231;1836;
Seattle;Los Angeles;20170531;04:30;15.0;245;245;940;
Seattle;Los Angeles;20170531;19:35;13.8;333;333;1708;
Seattle;Vancouver;20170501;12:43;14.5;227;227;956;
Seattle;Vancouver;20170501;15:43;1.0;335;335;503;
Seattle;Vancouver;20170502;08:47;7.1;356;356;1615;
Seattle;Vancouver;20170502;23:24;2.7;224;224;1908;
Seattle;Vancouver;20170503;12:37;5.3;393;393;1591;
Seattle;Vancouver;20170503;17:41;15.4;329;329;350;
Seattle;Vancouver;20170504;04:52;5.4;208;208;1454;
Seattle;Vancouver;20170504;23:13;3.3;365;365;662;
Seattle;Vancouver;20170505;01:44;9.4;342;342;1504;
Seattle;Vancouver;20170505;12:58;13.0;384;384;1769;
Seattle;Vancouver;20170506;11:04;5.8;368;368;1941;
Seattle;Vancouver;20170506;21:13;11.5;359;359;803;
Seattle;Vancouver;20170507;00:53;2.0;266;266;1052;
Seattle;Vancouver;20170507;21:18;2.2;381;381;1580;
Seattle;Vancouver;20170508;04:58;7.0;282;282;1633;
Seattle;Vancouver;20170508;19:49;10.6;366;366;1906;
Seattle;Vancouver;20170509;04:00;5.3;351;351;293;
Seattle;Vancouver;20170509;22:39;8.3;223;223;1540;
Seattle;Vancouver;20170510;09:38;8.3;326;326;1541;
Seattle;Vancouver;20170510;17:22;1.8;218;218;1993;
Seattle;Vancouver;20170511;10:32;4.2;365;365;1305;
Seattle;Vancouver;20170511;19:44;15.7;253;253;1077;
Seattle;Vancouver;20170512;04:04;7.8;200;200;389;
Seattle;Vancouver;20170512;12:43;14.1;263;263;249;
Seattle;Vancouver;20170513;10:19;4.2;227;227;1759;
Seattle;Vancouver;20170513;12:09;14.6;385;385;859;
Seattle;Vancouver;20170514;12:58;2.8;278;278;1249;
Seattle;Vancouver;20170514;12:04;15.1;327;327;695;
Seattle;Vancouver;20170515;08:01;9.2;289;289;928;
Seattle;Vancouver;20170515;15:43;4.3;264;264;456;
Seattle;Vancouver;20170516;11:38;14.3;223;223;364;
Seattle;Vancouver;20170516;14:17;10.1;308;308;1737;
Seattle;Vancouver;20170517;01:36;5.9;231;231;1133;
Seattle;Vancouver;20170517;15:13;3.7;208;208;360;
Seattle;Vancouver;20170518;11:10;13.2;387;387;1678;
Seattle;Vancouver;20170518;20:00;3.8;246;246;1660;
Seattle;Vancouver;20170519;04:31;7.4;216;216;297;
Seattle;Vancouver;20170519;23:58;1.4;300;300;1182;
Seattle;Vancouver;20170520;08:44;4.6;391;391;426;
Seattle;Vancouver;20170520;22:23;14.6;322;322;614;
Seattle;Vancouver;20170521;06:21;2.5;327;327;1842;
Seattle;Vancouver;20170521;13:21;15.4;312;312;1810;
Seattle;Vancouver;20170522;02:00;9.7;323;323;595;
Seattle;Vancouver;20170522;16:16;9.4;325;325;1508;
Seattle;Vancouver;20170523;07:31;11.3;320;320;1856;
Seattle;Vancouver;20170523;18:24;13.9;261;261;1067;
Seattle;Vancouver;20170524;12:45;15.9;379;379;1933;
Seattle;Vancouver;20170524;16:15;12.2;331;331;615;
Seattle;Vancouver;20170525;00:49;6.7;303;303;724;
Seattle;Vancouver;20170525;13:59;2.1;376;376;1342;
Seattle;Vancouver;20170526;08:41;14.2;246;246;1547;
Seattle;Vancouver;20170526;23:40;0.1;286;286;1633;
Seattle;Vancouver;20170527;06:05;14.2;316;316;1716;
Seattle;Vancouver;20170527;13:12;0.8;319;319;1841;
Seattle;Vancouver;20170528;11:39;12.3;248;248;1326;
Seattle;Vancouver;20170528;16:27;0.3;329;329;1593;
Seattle;Vancouver;20170529;01:59;15.0;345;345;275;
Seattle;Vancouver;20170529;12:09;4.6;290;290;1343;
Seattle;Vancouver;20170530;08:04;6.3;283;283;1148;
Seattle;Vancouver;20170530;23:22;5.9;339;339;1667;
Seattle;Vancouver;20170531;08:53;15.6;371;371;564;
Seattle;Vancouver;20170531;23:59;4.4;202;202;444;
